ProductCode,Product Description
300640,- Dental cements and other dental fillings; bone reconstruction cements
300650,- First-aid boxes and kits
300660,"- Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides"
300670,(2002-) - Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments
300680,(2002-2006) - Waste pharmaceuticals
300691,(2007-) -- Appliances identifiable for ostomy use
300692,(2007-) -- Waste pharmaceuticals
31,FERTILISERS
3101,"Animal or vegetable fertilisers, whether or not mixed together or chemically treated; fertilisers produced by the mixing or chemical treatment of animal or vegetable products."
310100,"Animal or vegetable fertilisers, whether or not mixed together or chemically treated; fertilisers produced by the mixing or chemical treatment of animal or vegetable products."
3102,"Mineral or chemical fertilisers, nitrogenous."
310210,"- Urea, whether or not in aqueous solution"
310221,-- Ammonium sulphate
310229,-- Other
310230,"- Ammonium nitrate, whether or not in aqueous solution"
310240,- Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilising substances
310250,- Sodium nitrate
310260,- Double salts and mixtures of calcium nitrate and ammonium nitrate
310270,(-2006)  - Calcium cyanamide
310280,- Mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution
310290,"- Other, including mixtures not specified in the foregoing subheadings"
3103,"Mineral or chemical fertilisers, phosphatic."
310310,- Superphosphates
310320,(-2006)  - Basic slag
310390,- Other
3104,"Mineral or chemical fertilisers, potassic."
310410,"(-2006)  - Carnallite, sylvite and other crude natural potassium salts"
310420,- Potassium chloride
310430,- Potassium sulphate
310490,- Other
3105,"Mineral or chemical fertilisers containing two or three of the fertilising elements nitrogen, phosphorus and potassium; other fertilisers; goods of this Chapter in tablets or similar forms or in packages of a gross weight not exceeding 10 kg."
310510,- Goods of this Chapter in tablets or similar forms or in packages of a gross weight not exceeding 10 kg
310520,"- Mineral or chemical fertilisers containing the three fertilising elements nitrogen, phosphorus and potassium"
310530,- Diammonium hydrogenorthophosphate (diammonium phosphate)
310540,- Ammonium dihydrogenorthophosphate (monoammonium phosphate) and mixtures thereof with diammonium hydrogenorthophosphate (diammonium phosphate)
310551,-- Containing nitrates and phosphates
310559,-- Other
310560,- Mineral or chemical fertilisers containing the two fertilising elements phosphorus and potassium
310590,- Other
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VARNISHES; PUTTY AND OTHER MASTICS; INKS"
3201,"Tanning extracts of vegetable origin; tannins and their salts, ethers, esters and other derivatives."
320110,- Quebracho extract
320120,- Wattle extract
320130,(-1995) Oak or chestnut extract
320190,- Other
3202,"Synthetic organic tanning substances; inorganic tanning substances; tanning preparations, whether or not containing natural tanning substances; enzymatic preparations for pre- tanning."
320210,- Synthetic organic tanning substances
320290,- Other
3203,"Colouring matter of vegetable or animal origin (including dyeing extracts but excluding animal black), whether or not chemically defined; preparations as specified in Note 3 to this Chapter based on colouring matter of vegetable or animal origin."
320300,"Colouring matter of vegetable or animal origin (including dyeing extracts but excluding animal black), whether or not chemically defined; preparations as specified in Note 3 to this Chapter based on colouring matter of vegetable or animal origin."
3204,"Synthetic organic colouring matter, whether or not chemically defined; preparations as specified in Note 3 to this Chapter based on synthetic organic colouring matter; synthetic organic products of a kind used as fluorescent brightening agents or as lumin"
320411,-- Disperse dyes and preparations based thereon
320412,"-- Acid dyes, whether or not premetallised, and preparations based thereon; mordant dyes and preparations based thereon"
320413,-- Basic dyes and preparations based thereon
320414,-- Direct dyes and preparations based thereon
320415,-- Vat dyes (including those usable in that state as pigments) and preparations based thereon
320416,-- Reactive dyes and preparations based thereon
320417,-- Pigments and preparations based thereon
320419,"-- Other, including mixtures of colouring matter of two or more of the subheadings 3204.11 to 3204.19"
320420,- Synthetic organic products of a kind used as fluorescent brightening agents
320490,- Other
3205,Colour lakes; preparations as specified in Note 3 to this Chapter based on colour lakes.
320500,Colour lakes; preparations as specified in Note 3 to this Chapter based on colour lakes.
3206,"Other colouring matter; preparations as specified in Note 3 to this Chapter, other than those of heading 32.03, 32.04 or 32.05; inorganic products of a kind used as luminophores, whether or not chemically defined."
320610,(-1995) Pigments and preparations based on titanium dioxide
320611,(1996-) -- Containing 80 % or more by weight of titanium dioxide calculated on the dry matter
320619,(1996-) -- Other
320620,- Pigments and preparations based on chromium compounds
320630,(-2006)  - Pigments and preparations based on cadmium compounds
320641,-- Ultramarine and preparations based thereon
320642,-- Lithopone and other pigments and preparations based on zinc sulphide
320643,(-2006)  -- Pigments and preparations based on hexacyanoferrates (ferrocyanides and ferricyanides)
320649,-- Other
320650,- Inorganic products of a kind used as luminophores
3207,"Prepared pigments, prepared opacifiers and prepared colours, vitrifiable enamels and glazes, engobes (slips), liquid lustres and similar preparations, of a kind used in the ceramic, enamelling or glass industry; glass frit and other glass, in the form of"
320710,"- Prepared pigments, prepared opacifiers, prepared colours and similar preparations"
320720,"- Vitrifiable enamels and glazes, engobes (slips) and similar preparations"
320730,- Liquid lustres and similar preparations
320740,"- Glass frit and other glass, in the form of powder, granules or flakes"
3208,"Paints and varnishes (including enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium; solutions as defined in Note 4 to this Chapter."
320810,- Based on polyesters
320820,- Based on acrylic or vinyl polymers
320890,- Other
3209,"Paints and varnishes (including enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in an aqueous medium."
320910,- Based on acrylic or vinyl polymers
320990,- Other
3210,"Other paints and varnishes (including enamels, lacquers and distempers); prepared water pigments of a kind used for finishing leather."
321000,"Other paints and varnishes (including enamels, lacquers and distempers); prepared water pigments of a kind used for finishing leather."
3211,Prepared driers.
321100,Prepared driers.
3212,"Pigments (including metallic powders and flakes) dispersed in non-aqueous media, in liquid or paste form, of a kind used in the manufacture of paints (including enamels); stamping foils; dyes and other colouring matter put up in forms or packings for reta"
321210,- Stamping foils
321290,- Other
3213,"Artists', students' or signboard painters' colours, modifying tints, amusement colours and the like, in tablets, tubes, jars, bottles, pans or in similar forms or packings."
321310,- Colours in sets
321390,- Other
3214,"Glaziers' putty, grafting putty, resin cements, caulking compounds and other mastics; painters' fillings; non-refractory surfacing preparations for façades, indoor walls, floors, ceilings or the like."
321410,"- Glaziers' putty, grafting putty, resin cements, caulking compounds and other mastics; painters' fillings"
321490,- Other
3215,"Printing ink, writing or drawing ink and other inks, whether or not concentrated or solid."
321511,-- Black
321519,-- Other
321590,- Other
33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS"
3301,"Essential oils (terpeneless or not), including concretes and absolutes; resinoids; extracted oleoresins; concentrates of essential oils in fats, in fixed oils, in waxes or the like, obtained by enfleurage or maceration; terpenic by-products of the deterpe"
330111,(-2006)  -- Of bergamot
330112,-- Of orange
330113,-- Of lemon
330114,(-2006)  -- Of lime
330119,-- Other
330121,(-2006)  -- Of geranium
330122,(-2006)  -- Of jasmin
330123,(-2006)  -- Of lavender or of lavandin
330124,-- Of peppermint (Mentha piperita)
330125,-- Of other mints
330126,(-2006)  -- Of vetiver
330129,-- Other
330130,- Resinoids
330190,- Other
3302,"Mixtures of odoriferous substances and mixtures (including alcoholic solutions) with a basis of one or more of these substances, of a kind used as raw materials in industry; other preparations based on odoriferous substances, of a kind used for the manufa"
330210,- Of a kind used in the food or drink industries
330290,- Other
3303,Perfumes and toilet waters.
330300,Perfumes and toilet waters.
3304,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), including sunscreen or sun tan preparations; manicure or pedicure preparations."
330410,- Lip make-up preparations
330420,- Eye make-up preparations
330430,- Manicure or pedicure preparations
330491,"-- Powders, whether or not compressed"
330499,-- Other
3305,Preparations for use on the hair.
330510,- Shampoos
330520,- Preparations for permanent waving or straightening
330530,- Hair lacquers
330590,- Other
3306,"Preparations for oral or dental hygiene, including denture fixative pastes and powders; yarn used to clean between the teeth (dental floss), in individual retail packages."
330610,- Dentifrices
330620,(1996-) - Yarn used to clean between the teeth (dental floss)
330690,- Other
3307,"Pre-shave, shaving or after-shave preparations, personal deodorants, bath preparations, depilatories and other perfumery, cosmetic or toilet preparations, not elsewhere specified or included; prepared room deodorisers, whether or not perfumed or having di"
330710,"- Pre-shave, shaving or after-shave preparations"
330720,- Personal deodorants and antiperspirants
330730,- Perfumed bath salts and other bath preparations
330741,-- “Agarbatti” and other odoriferous preparations which operate by burning
330749,-- Other
330790,- Other
34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREPARATIONS, CANDLES AND SIMILAR ARTICLES, MODELLING PASTES, ‘DENTAL WAXES’ AND DENTAL PREPARATION"
3401,"Soap; organic surface-active products and preparations for use as soap, in the form of bars, cakes, moulded pieces or shapes, whether or not containing soap; organic surface-active products and preparations for washing the skin, in the form of liquid or c"
340111,-- For toilet use (including medicated products)
340119,-- Other
340120,- Soap in other forms
340130,"(2002-) - Organic surface-active products and preparations for washing the skin, in the form of liquid or cream and put up for retail sale, whether or not containing soap"
3402,"Organic surface-active agents (other than soap); surface-active preparations, washing preparations (including auxiliary washing preparations) and cleaning preparations, whether or not containing soap, other than those of heading 34.01."
340211,-- Anionic
340212,-- Cationic
340213,-- Non-ionic
340219,-- Other
340220,- Preparations put up for retail sale
340290,- Other
3403,"Lubricating preparations (including cutting-oil preparations, bolt or nut release preparations, anti-rust or anti-corrosion preparations and mould release preparations, based on lubricants) and preparations of a kind used for the oil or grease treatment o"
340311,"-- Preparations for the treatment of textile materials, leather, furskins or other materials"
340319,-- Other
340391,"-- Preparations for the treatment of textile materials, leather, furskins or other materials"
340399,-- Other
3404,Artificial waxes and prepared waxes.
340410,(-2006)  - Of chemically modified lignite
340420,- Of poly(oxyethylene) (polyethylene glycol)
340490,- Other
3405,"Polishes and creams, for footwear, furniture, floors, coachwork, glass or metal, scouring pastes and powders and similar preparations (whether or not in the form of paper, wadding, felt, nonwovens, cellular plastics or cellular rubber, impregnated, coated"
340510,"- Polishes, creams and similar preparations for footwear or leather"
340520,"- Polishes, creams and similar preparations for the maintenance of wooden furniture, floors or other woodwork"
340530,"- Polishes and similar preparations for coachwork, other than metal polishes"
340540,- Scouring pastes and powders and other scouring preparations
340590,- Other
3406,"Candles, tapers and the like."
340600,"Candles, tapers and the like."
3407,"Modelling pastes, including those put up for children's amusement; preparations known as “dental wax” or as “dental impression compounds”, put up in sets, in packings for retail sale or in plates, horseshoe shapes, sticks or similar forms; other preparati"
340700,"Modelling pastes, including those put up for children's amusement; preparations known as “dental wax” or as “dental impression compounds”, put up in sets, in packings for retail sale or in plates, horseshoe shapes, sticks or similar forms; other preparat"
35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES
3501,"Casein, caseinates and other casein derivatives; casein glues."
350110,- Casein
350190,- Other
3502,"Albumins (including concentrates of two or more whey proteins, containing by weight more than 80 % whey proteins, calculated on the dry matter), albuminates and other albumin derivatives."
350210,(-1995) Egg albumin
350211,(1996-) -- Dried
350219,(1996-) -- Other
350220,"(1996-) - Milk albumin, including concentrates of two or more whey proteins"
350290,- Other
3503,"Gelatin (including gelatin in rectangular (including square) sheets, whether or not surface-worked or coloured) and gelatin derivatives; isinglass; other glues of animal origin, excluding casein glues of heading 35.01."
350300,"Gelatin (including gelatin in rectangular (including square) sheets, whether or not surface-worked or coloured) and gelatin derivatives; isinglass; other glues of animal origin, excluding casein glues of heading 35.01."
3504,"Peptones and their derivatives; other protein substances and their derivatives, not elsewhere specified or included; hide powder, whether or not chromed."
350400,"Peptones and their derivatives; other protein substances and their derivatives, not elsewhere specified or included; hide powder, whether or not chromed."
3505,"Dextrins and other modified starches (for example, pregelatinised or esterified starches); glues based on starches, or on dextrins or other modified starches."
350510,- Dextrins and other modified starches
350520,- Glues
3506,"Prepared glues and other prepared adhesives, not elsewhere specified or included; products suitable for use as glues or adhesives, put up for retail sale as glues or adhesives, not exceeding a net weight of 1 kg."
350610,"- Products suitable for use as glues or adhesives, put up for retail sale as glues or adhesives, not exceeding a net weight of 1 kg"
350691,-- Adhesives based on polymers of headings 39.01 to 39.13 or on rubber
350699,-- Other
3507,Enzymes; prepared enzymes not elsewhere specified or included.
350710,- Rennet and concentrates thereof
350790,- Other
36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS
3601,Propellent powders.
360100,Propellent powders.
3602,"Prepared explosives, other than propellent powders."
360200,"Prepared explosives, other than propellent powders."
3603,Safety fuses; detonating fuses; percussion or detonating caps; igniters; electric detonators.
360300,Safety fuses; detonating fuses; percussion or detonating caps; igniters; electric detonators.
3604,"Fireworks, signalling flares, rain rockets, fog signals and other pyrotechnic articles."
360410,- Fireworks
360490,- Other
3605,"Matches, other than pyrotechnic articles of heading 36.04."
360500,"Matches, other than pyrotechnic articles of heading 36.04."
3606,Ferro-cerium and other pyrophoric alloys in all forms; articles of combustible materials as specified in Note 2 to this Chapter.
360610,- Liquid or liquefied-gas fuels in containers of a kind used for filling or refilling cigarette or similar lighters and of a capacity not exceeding 300 cm3
360690,- Other
37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
3701,"Photographic plates and film in the flat, sensitised, unexposed, of any material other than paper, paperboard or textiles; instant print film in the flat, sensitised, unexposed, whether or not in packs."
370110,- For X-ray
370120,- Instant print film
370130,"- Other plates and film, with any side exceeding 255 mm"
370191,-- For colour photography (polychrome)
370199,-- Other
3702,"Photographic film in rolls, sensitised, unexposed, of any material other than paper, paperboard or textiles; instant print film in rolls, sensitised, unexposed."
370210,- For X-ray
370220,(-2006)  - Instant print film
370231,-- For colour photography (polychrome)
370232,"-- Other, with silver halide emulsion"
370239,-- Other
370241,"-- Of a width exceeding 610 mm and of a length exceeding 200 m, for colour photography (polychrome)"
370242,"-- Of a width exceeding 610 mm and of a length exceeding 200 m, other than for colour photography"
370243,-- Of a width exceeding 610 mm and of a length not exceeding 200 m
370244,-- Of a width exceeding 105 mm but not exceeding 610 mm
370251,(-2011) -- Of a width not exceeding 16 mm and of a length not exceeding 14 m
370252,-- Of a width not exceeding 16 mm
370253,"-- Of a width exceeding 16 mm but not exceeding 35 mm and of a length not exceeding 30 m, for slides"
370254,"-- Of a width exceeding 16 mm but not exceeding 35 mm and of a length not exceeding 30 m, other than for slides"
370255,-- Of a width exceeding 16 mm but not exceeding 35 mm and of a length exceeding 30 m
370256,-- Of a width exceeding 35 mm
370291,(-2011) -- Of a width not exceeding 16 mm
370292,(-2001) - - Of a width not exceeding 16 mm and of a length exceeding 14 m
370293,(-2011) -- Of a width exceeding 16 mm but not exceeding 35 mm and of a length not exceeding 30 m
370294,(-2011) -- Of a width exceeding 16 mm but not exceeding 35 mm and of a length exceeding 30 m
370295,(-2011) -- Of a width exceeding 35 mm
370296,(2012-) -- Of a width not exceeding 35 mm and of a length not exceeding 30 m
370297,(2012-) -- Of a width not exceeding 35 mm and of a length exceeding 30 m
370298,(2012-) -- Of a width exceeding 35 mm
3703,"Photographic paper, paperboard and textiles, sensitised, unexposed."
370310,- In rolls of a width exceeding 610 mm
370320,"- Other, for colour photography (polychrome)"
370390,- Other
3704,"Photographic plates, film, paper, paperboard and textiles, exposed but not developed."
370400,"Photographic plates, film, paper, paperboard and textiles, exposed but not developed."
3705,"Photographic plates and film, exposed and developed, other than cinematographic film."
370510,- For offset reproduction
370520,(-2006)  - Microfilms
370590,- Other
3706,"Cinematographic film, exposed and developed, whether or not incorporating sound track or consisting only of sound track."
370610,- Of a width of 35 mm or more
370690,- Other
3707,"Chemical preparations for photographic uses (other than varnishes, glues, adhesives and similar preparations); unmixed products for photographic uses, put up in measured portions or put up for retail sale in a form ready for use."
370710,- Sensitising emulsions
370790,- Other
38,MISCELLANEOUS CHEMICAL PRODUCTS
3801,"Artificial graphite; colloidal or semi-colloidal graphite; preparations based on graphite or other carbon in the form of pastes, blocks, plates or other semi-manufactures."
380110,- Artificial graphite
380120,- Colloidal or semi-colloidal graphite
380130,- Carbonaceous pastes for electrodes and similar pastes for furnace linings
380190,- Other
3802,"Activated carbon; activated natural mineral products; animal black, including spent animal black."
380210,- Activated carbon
380290,- Other
3803,"Tall oil, whether or not refined."
380300,"Tall oil, whether or not refined."
3804,"Residual lyes from the manufacture of wood pulp, whether or not concentrated, desugared or chemically treated, including lignin sulphonates, but excluding tall oil of heading 38.03."
380400,"Residual lyes from the manufacture of wood pulp, whether or not concentrated, desugared or chemically treated, including lignin sulphonates, but excluding tall oil of heading 38.03."
3805,"Gum, wood or sulphate turpentine and other terpenic oils produced by the distillation or other treatment of coniferous woods; crude dipentene; sulphite turpentine and other crude para-cymene; pine oil containing alpha-terpineol as the main constituent."
380510,"- Gum, wood or sulphate turpentine oils"
380520,(-2006)  - Pine oil
380590,- Other
3806,"Rosin and resin acids, and derivatives thereof; rosin spirit and rosin oils; run gums."
380610,- Rosin and resin acids
380620,"- Salts of rosin, of resin acids or of derivatives of rosin or resin acids, other than salts of rosin adducts"
380630,- Ester gums
380690,- Other
3807,"Wood tar; wood tar oils; wood creosote; wood naphtha; vegetable pitch; brewers' pitch and similar preparations based on rosin, resin acids or on vegetable pitch."
380700,"Wood tar; wood tar oils; wood creosote; wood naphtha; vegetable pitch; brewers' pitch and similar preparations based on rosin, resin acids or on vegetable pitch."
3808,"Insecticides, rodenticides, fungicides, herbicides, anti-sprouting products and plant-growth regulators, disinfectants and similar products, put up in forms or packings for retail sale or as preparations or articles (for example, sulphur-treated bands, wi"
380810,(-2006)  - Insecticides
380820,(-2006)  - Fungicides
380830,"(-2006)  - Herbicides, anti-sprouting products and plant-growth regulators"
380840,(-2006)  - Disinfectants
380850,(2007-) - Goods specified in Subheading Note 1 to this Chapter
380890,(-2006)  - Other
380891,(2007-) -- Insecticides
380892,(2007-) -- Fungicides
380893,"(2007-) -- Herbicides, anti-sprouting products and plant-growth regulators"
380894,(2007-) -- Disinfectants
380899,(2007-) -- Other
3809,"Finishing agents, dye carriers to accelerate the dyeing or fixing of dyestuffs and other products and preparations (for example, dressings and mordants), of a kind used in the textile, paper, leather or like industries, not elsewhere specified or included"
380910,- With a basis of amylaceous substances
380991,-- Of a kind used in the textile or like industries
380992,-- Of a kind used in the paper or like industries
380993,-- Of a kind used in the leather or like industries
3810,"Pickling preparations for metal surfaces; fluxes and other auxiliary preparations for soldering, brazing or welding; soldering, brazing or welding powders and pastes consisting of metal and other materials; preparations of a kind used as cores or coatings"
381010,"- Pickling preparations for metal surfaces; soldering, brazing or welding powders and pastes consisting of metal and other materials"
381090,- Other
3811,"Anti-knock preparations, oxidation inhibitors, gum inhibitors, viscosity improvers, anti-corrosive preparations and other prepared additives, for mineral oils (including gasoline) or for other liquids used for the same purposes as mineral oils."
381111,-- Based on lead compounds
381119,-- Other
381121,-- Containing petroleum oils or oils obtained from bituminous minerals
381129,-- Other
381190,- Other
3812,"Prepared rubber accelerators; compound plasticisers for rubber or plastics, not elsewhere specified or included; anti-oxidising preparations and other compound stabilisers for rubber or plastics."
381210,- Prepared rubber accelerators
381220,- Compound plasticisers for rubber or plastics
381230,- Anti-oxidising preparations and other compound stabilisers for rubber or plastics
3813,Preparations and charges for fire-extinguishers; charged fire- extinguishing grenades.
381300,Preparations and charges for fire-extinguishers; charged fire- extinguishing grenades.
3814,"Organic composite solvents and thinners, not elsewhere specified or included; prepared paint or varnish removers."
381400,"Organic composite solvents and thinners, not elsewhere specified or included; prepared paint or varnish removers."
3815,"Reaction initiators, reaction accelerators and catalytic preparations, not elsewhere specified or included."
381511,-- With nickel or nickel compounds as the active substance
381512,-- With precious metal or precious metal compounds as the active substance
381519,-- Other
381590,- Other
3816,"Refractory cements, mortars, concretes and similar compositions, other than products of heading 38.01."
381600,"Refractory cements, mortars, concretes and similar compositions, other than products of heading 38.01."
3817,"Mixed alkylbenzenes and mixed alkylnaphthalenes, other than those of heading 27.07 or 29.02."
381700,"(2002-) Mixed alkylbenzenes and mixed alkylnaphthalenes, other than those of heading 27.07 or 29.02."
381710,(-2001) - Mixed alkylbenzenes
381720,(-2001) - Mixed alkylnaphthalenes
3818,"Chemical elements doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics."
381800,"Chemical elements doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics."
3819,"Hydraulic brake fluids and other prepared liquids for hydraulic transmission, not containing or containing less than 70 % by weight of petroleum oils or oils obtained from bituminous minerals."
381900,"Hydraulic brake fluids and other prepared liquids for hydraulic transmission, not containing or containing less than 70 % by weight of petroleum oils or oils obtained from bituminous minerals."
3820,Anti-freezing preparations and prepared de-icing fluids.
382000,Anti-freezing preparations and prepared de-icing fluids.
3821,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells."
382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells."
3822,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06; certified reference materials."
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06; certified reference materials."
3823,Industrial monocarboxylic fatty acids; acid oils from refining; industrial fatty alcohols.
382310,(-1995) Prepared binders for foundry moulds or cores
382311,(1996-) -- Stearic acid
382312,(1996-) -- Oleic acid
382313,(1996-) -- Tall oil fatty acids
382319,(1996-) -- Other
382320,"(-1995) Naphthenic acids, their water-insoluble salts and their esters"
382330,(-1995) Non-agglomerated metal carbides mixed together or with metallic binders
382340,"(-1995) Prepared additives for cements, mortars or concretes"
382350,(-1995) Non-refractory mortars and concretes
382360,(-1995) Sorbitol other than that of subheading No. 2905.44
382370,(1996-) - Industrial fatty alcohols
382390,(-1995) Other
3824,"Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included."
382410,(1996-) - Prepared binders for foundry moulds or cores
382420,"(1996-2006)  - Naphthenic acids, their water-insoluble salts and their esters"
382430,(1996-) - Non-agglomerated metal carbides mixed together or with metallic binders
382440,"(1996-) - Prepared additives for cements, mortars or concretes"
382450,(1996-) - Non-refractory mortars and concretes
382460,(1996-) - Sorbitol other than that of subheading 2905.44
382471,"(1996-) -- Containing chlorofluorocarbons (CFCs), whether or not containing hydrochlorofluorocarbons (HCFCs), perfluorocarbons (PFCs) or hydrofluorocarbons (HFCs)"
382472,"(2007-) -- Containing bromochlorodifluoromethane, bromotrifluoromethane or dibromotetrafluoroethanes"
382473,(2007-) -- Containing hydrobromofluorocarbons (HBFCs)
382474,"(2007-) -- Containing hydrochlorofluorocarbons (HCFCs), whether or not containing perfluorocarbons (PFCs) or hydrofluorocarbons (HFCs), but not containing chlorofluorocarbons (CFCs)"
382475,(2007-) -- Containing carbon tetrachloride
382476,"(2007-) -- Containing 1,1,1-trichloroethane (methyl chloroform)"
382477,(2007-) -- Containing bromomethane (methyl bromide) or bromochloromethane
382478,"(2007-) -- Containing perfluorocarbons (PFCs) or hydrofluorocarbons (HFCs), but not containing chlorofluorocarbons (CFCs) or hydrochlorofluorocarbons (HCFCs)"
382479,(1996-) -- Other
382481,(2007-) -- Containing oxirane (ethylene oxide)
382482,"(2007-) -- Containing polychlorinated biphenyls (PCBs), polychlorinated terphenyls (PCTs) or polybrominated biphenyls (PBBs)"
382483,"(2007-) -- Containing tris(2,3-dibromopropyl) phosphate"
382490,(1996-) - Other
3825,"Residual products of the chemical or allied industries, not elsewhere specified or included; municipal waste; sewage sludge; other wastes specified in Note 6 to this Chapter."
382510,(2002-) - Municipal waste
382520,(2002-) - Sewage sludge
382530,(2002-) - Clinical waste
382541,(2002-) -- Halogenated
382549,(2002-) -- Other
382550,"(2002-) - Wastes of metal pickling liquors, hydraulic fluids, brake fluids and anti-freeze fluids"
382561,(2002-) -- Mainly containing organic constituents
382569,(2002-) -- Other
382590,(2002-) - Other
3826,"Biodiesel and mixtures thereof, not containing or containing less than 70 % by weight of petroleum oils or oils obtained from bituminous minerals."
382600,"(2012-) Biodiesel and mixtures thereof, not containing or containing less than 70 % by weight of petroleum oils or oils obtained from bituminous minerals."
39,PLASTICS AND ARTICLES THEREOF
3901,"Polymers of ethylene, in primary forms."
390110,- Polyethylene having a specific gravity of less than 0.94
390120,- Polyethylene having a specific gravity of 0.94 or more
390130,- Ethylene-vinyl acetate copolymers
390190,- Other
3902,"Polymers of propylene or of other olefins, in primary forms."
390210,- Polypropylene
390220,- Polyisobutylene
390230,- Propylene copolymers
390290,- Other
3903,"Polymers of styrene, in primary forms."
390311,-- Expansible
390319,-- Other
390320,- Styrene-acrylonitrile (SAN) copolymers
390330,- Acrylonitrile-butadiene-styrene (ABS) copolymers
390390,- Other
3904,"Polymers of vinyl chloride or of other halogenated olefins, in primary forms."
390410,"- Poly(vinyl chloride), not mixed with any other substances"
390421,-- Non-plasticised
390422,-- Plasticised
390430,- Vinyl chloride-vinyl acetate copolymers
390440,- Other vinyl chloride copolymers
390450,- Vinylidene chloride polymers
390461,-- Polytetrafluoroethylene
390469,-- Other
390490,- Other
3905,"Polymers of vinyl acetate or of other vinyl esters, in primary forms; other vinyl polymers in primary forms."
390511,(-1995) In aqueous dispersion
390512,(1996-) -- In aqueous dispersion
390519,-- Other
390520,"(-1995) Polyvinyl alcohols, whether or not containing unhydrolyzed acetate groups"
390521,(1996-) -- In aqueous dispersion
390529,(1996-) -- Other
390530,"(1996-) - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups"
390590,(-1995) Other
390591,(1996-) -- Copolymers
390599,(1996-) -- Other
3906,Acrylic polymers in primary forms.
390610,- Poly(methyl methacrylate)
390690,- Other
3907,"Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl esters and other polyesters, in primary forms."
390710,- Polyacetals
390720,- Other polyethers
390730,- Epoxide resins
390740,- Polycarbonates
390750,- Alkyd resins
390760,- Poly(ethylene terephthalate)
390770,(2007-) - Poly(lactic acid)
390791,-- Unsaturated
390799,-- Other
3908,Polyamides in primary forms.
390810,"- Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12"
390890,- Other
3909,"Amino-resins, phenolic resins and polyurethanes, in primary forms."
390910,- Urea resins; thiourea resins
390920,- Melamine resins
390930,- Other amino-resins
390940,- Phenolic resins
390950,- Polyurethanes
3910,Silicones in primary forms.
391000,Silicones in primary forms.
3911,"Petroleum resins, coumarone-indene resins, polyterpenes, polysulphides, polysulphones and other products specified in Note 3 to this Chapter, not elsewhere specified or included, in primary forms."
391110,"- Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes"
391190,- Other
3912,"Cellulose and its chemical derivatives, not elsewhere specified or included, in primary forms."
391211,-- Non-plasticised
391212,-- Plasticised
391220,- Cellulose nitrates (including collodions)
391231,-- Carboxymethylcellulose and its salts
391239,-- Other
391290,- Other
3913,"Natural polymers (for example, alginic acid) and modified natural polymers (for example, hardened proteins, chemical derivatives of natural rubber), not elsewhere specified or included, in primary forms."
391310,"- Alginic acid, its salts and esters"
391390,- Other
3914,"Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms."
391400,"Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms."
3915,"Waste, parings and scrap, of plastics."
391510,- Of polymers of ethylene
391520,- Of polymers of styrene
391530,- Of polymers of vinyl chloride
391590,- Of other plastics
3916,"Monofilament of which any cross-sectional dimension exceeds 1 mm, rods, sticks and profile shapes, whether or not surface- worked but not otherwise worked, of plastics."
391610,- Of polymers of ethylene
